Iteracja;Czas;Temperatura
0;0.0;10.0
1;5.0;9.9
2;10.0;9.8
3;15.0;9.7
4;20.0;9.5
5;25.0;9.4
6;30.0;9.3
7;35.0;9.2
8;40.0;9.1
9;45.0;9.0
10;50.0;8.9
11;55.0;8.8
12;60.0;8.7
13;65.0;8.5
14;70.0;8.4
15;75.0;8.3
16;80.0;8.2
17;85.0;8.1
18;90.0;8.0
19;95.0;7.9
20;100.0;7.8
21;105.0;7.7
22;110.0;7.6
23;115.0;7.5
24;120.0;7.4
25;125.0;7.3
26;130.0;7.2
27;135.0;7.1
28;140.0;7.0
29;145.0;6.8
30;150.0;6.7
31;155.0;6.6
32;160.0;6.5
33;165.0;6.4
34;170.0;6.3
35;175.0;6.2
36;180.0;6.1
37;185.0;6.0
38;190.0;5.9
39;195.0;5.8
40;200.0;5.7
41;205.0;5.6
42;210.0;5.5
43;215.0;5.4
44;220.0;5.3
45;225.0;5.3
46;230.0;5.2
47;235.0;5.1
48;240.0;5.0
49;245.0;4.9
